Age,primary_location,Gender,Saavnify_usage_period,Saavnify_listening_device,Saavnify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
20-35,Jaipur,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation/Stress Relief,Leisure,Recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Chennai,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,3,Once a week,Lifestyle and Health,Conversational,Well known individuals,Shorter,Satisfied
20-35,Delhi,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Electronic/Dance,Night,Relaxation/Stress Relief,Travel,Recommendations,4,Rarely,Health and Fitness,Conversational,Both,Shorter,Ok
20-35,Kolkata,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,3,Never,None,None,None,None,Ok
20-35,Pune,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Rap,Night,Relaxation/Stress Relief,Leisure,Recommendations,4,Never,None,None,None,None,Ok
20-35,Mumbai,Female,Less than 6 months,Wearable Devices,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation/Stress Relief,Leisure,Recommendations,3,Never,None,None,None,None,Ok
20-35,Hyderabad,Male,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,5,Never,None,None,None,None,Ok
20-35,Kolkata,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Podcast,Rap,Night,Relaxation/Stress Relief,Travel,Recommendations,5,Several times a week,Lifestyle and Health,Educational,Well known individuals,Both,Satisfied
35-60,Kolkata,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Uplifting/Motivational,Travel,Playlists,4,Never,None,None,None,None,Ok
20-35,Pune,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Leisure,Recommendations,4,Rarely,Food and Cooking,Interview,Well known individuals,Shorter,Very Satisfied
20-35,Bengaluru,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Rock,Night,Relaxation/Stress Relief,Leisure,Playlists,3,Never,None,None,None,None,Ok
20-35,Jaipur,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation/Stress Relief,Travel,Recommendations,4,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Satisfied
20-35,Delhi,Male,1 year to 2 years,Smartphone,Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Melody,Night,Relaxation/Stress Relief,Travel,Playlists,5,Daily,Health and Fitness,Story telling,Both,Both,Satisfied
35-60,Bengaluru,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Podcast,Classical,Night,Relaxation/Stress Relief,Leisure,Recommendations,4,Several times a week,Lifestyle and Health,Conversational,Well known individuals,Shorter,Satisfied
20-35,Delhi,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Podcast,Melody,Night,Relaxation/Stress Relief,Leisure,Radio,4,Rarely,Lifestyle and Health,Educational,Both,Both,Satisfied
20-35,Chennai,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation/Stress Relief,Travel,Radio,3,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Very Satisfied
20-35,Kolkata,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation/Stress Relief,Workout,Recommendations,3,Rarely,Comedy,Conversational,Well known individuals,Shorter,Ok
20-35,Hyderabad,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation/Stress Relief,Travel,Recommendations,5,Rarely,Comedy,Interview,Both,Shorter,Satisfied
12-20,Chandigarh,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,Melody,Afternoon,Relaxation/Stress Relief,Travel,Recommendations,3,Rarely,Comedy,Story telling,Both,Both,Ok
20-35,Chandigarh,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,Relaxation/Stress Relief,Office,Recommendations,5,Never,None,None,None,None,Ok
20-35,Jaipur,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Electronic/Dance,Night,Relaxation/Stress Relief,Leisure,Others,4,Rarely,Sports,Educational,unknown Podcasters,Both,Ok
20-35,Delhi,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation/Stress Relief,Travel,Playlists,5,Several times a week,Comedy,Story telling,unknown Podcasters,Shorter,Very Satisfied
20-35,Hyderabad,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Classical,Night,Relaxation/Stress Relief,Office,Recommendations,4,Never,None,None,None,None,Ok
20-35,Delhi,Female,1 year to 2 years,PC or Laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Melody,Night,Uplifting/Motivational,Workout,Radio,3,Rarely,Food and Cooking,Educational,Well known individuals,Both,Satisfied
20-35,Hyderabad,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Morning,Relaxation/Stress Relief,Travel,Recommendations,5,Never,None,None,None,None,Ok
20-35,Hyderabad,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,Relaxation/Stress Relief,Leisure,Recommendations,4,Rarely,Food and Cooking,Conversational,Both,Shorter,Ok
20-35,Pune,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Family Plan-Rs 179/month,Podcast,Pop,Night,Uplifting/Motivational,Study,Recommendations,3,Several times a week,Sports,Conversational,Well known individuals,Longer,Very Satisfied
20-35,Jaipur,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Leisure,Playlists,4,Rarely,Comedy,Conversational,Both,Shorter,Ok
20-35,Delhi,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Electronic/Dance,Night,Relaxation/Stress Relief,Leisure,Recommendations,4,Rarely,Lifestyle and Health,Educational,None,None,Ok
20-35,Mumbai,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Classical,Night,Relaxation/Stress Relief,Travel,Recommendations,5,Rarely,Sports,None,Well known individuals,Shorter,Ok
20-35,Pune,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,4,Never,None,None,None,None,Ok
20-35,Ahmedabad,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Playlists,3,Daily,Lifestyle and Health,Story telling,Well known individuals,Shorter,Very Satisfied
20-35,Jaipur,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Office,Radio,4,Several times a week,Sports,Educational,Both,Longer,Satisfied
20-35,Kolkata,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,4,Never,None,None,None,None,Ok
20-35,Ahmedabad,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Morning,Uplifting/Motivational,Travel,Recommendations,4,Rarely,Lifestyle and Health,Conversational,Both,Both,Ok
20-35,Hyderabad,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Leisure,Playlists,4,Rarely,Comedy,Conversational,Well known individuals,Shorter,Ok
20-35,Jaipur,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Playlists,5,Several times a week,Comedy,Interview,Well known individuals,Shorter,Very Satisfied
12-20,Ahmedabad,Female,1 year to 2 years,Smart Speakers or Voice Assistants,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Classical,Morning,Sad/Melancholic,Travel,Radio,3,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Satisfied
20-35,Kolkata,Female,1 year to 2 years,Smart Speakers or Voice Assistants,Premium (paid subscription),Yes,Family Plan-Rs 179/month,Podcast,Rap,Afternoon,Sad/Melancholic,Travel,Playlists,3,Once a week,Sports,Interview,Well known individuals,Shorter,Satisfied
12-20,Delhi,Female,6 months to 1 year,Smart Speakers or Voice Assistants,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,Classical,Afternoon,Uplifting/Motivational,Travel,Radio,2,Once a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Ok
12-20,Jaipur,Female,1 year to 2 years,PC or Laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Morning,Uplifting/Motivational,Travel,Radio,2,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Ok
12-20,Chandigarh,Female,6 months to 1 year,PC or Laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Classical,Afternoon,Sad/Melancholic,Travel,Recommendations,3,Once a week,Lifestyle and Health,Educational,Both,Both,Satisfied
20-35,Jaipur,Female,1 year to 2 years,PC or Laptop,Free (ad-supported),No,None,Podcast,Classical,Morning,Uplifting/Motivational,Travel,Radio,2,Several times a week,Lifestyle and Health,Story telling,Both,Shorter,Ok
20-35,Kolkata,Female,1 year to 2 years,PC or Laptop,Free (ad-supported),No,None,Podcast,Classical,Morning,Uplifting/Motivational,Workout,Radio,2,Several times a week,Food and Cooking,Story telling,unknown Podcasters,Longer,Ok
12-20,Ahmedabad,Female,1 year to 2 years,Smart Speakers or Voice Assistants,Premium (paid subscription),No,None,Podcast,Classical,Afternoon,Sad/Melancholic,Study,Playlists,4,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied
6-12,Chandigarh,Female,6 months to 1 year,Smart Speakers or Voice Assistants,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,Classical,Morning,Uplifting/Motivational,Study,Playlists,2,Once a week,Lifestyle and Health,Interview,Well known individuals,Both,Ok
20-35,Ahmedabad,Female,More than 2 years,PC or Laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Classical,Morning,Uplifting/Motivational,Workout,Radio,2,Once a week,Health and Fitness,Interview,unknown Podcasters,Both,Ok
35-60,Chennai,Male,6 months to 1 year,PC or Laptop,Free (ad-supported),No,None,Podcast,Melody,Morning,Sad/Melancholic,Workout,Radio,3,Once a week,Health and Fitness,Interview,unknown Podcasters,Both,Dissatisfied
12-20,Mumbai,Male,6 months to 1 year,Smart Speakers or Voice Assistants,Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,Rap,Morning,Relaxation/Stress Relief,Travel,Playlists,3,Several times a week,Food and Cooking,Interview,unknown Podcasters,Longer,Ok
12-20,Pune,Female,1 year to 2 years,PC or Laptop,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,Classical,Afternoon,Uplifting/Motivational,Travel,Playlists,2,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Dissatisfied
20-35,Mumbai,Female,6 months to 1 year,PC or Laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Classical,Afternoon,Uplifting/Motivational,Study,Playlists,2,Once a week,Sports,Story telling,Both,Longer,Ok
20-35,Mumbai,Female,6 months to 1 year,Smart Speakers or Voice Assistants,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Classical,Afternoon,Relaxation/Stress Relief,Travel,Radio,3,Once a week,Health and Fitness,Interview,unknown Podcasters,Longer,Ok
35-60,Kolkata,Female,1 year to 2 years,Smart Speakers or Voice Assistants,Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,Classical,Afternoon,Uplifting/Motivational,Study,Radio,2,Rarely,Health and Fitness,Interview,unknown Podcasters,Longer,Ok
20-35,Kolkata,Female,6 months to 1 year,PC or Laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,Classical,Morning,Uplifting/Motivational,Travel,Playlists,3,Once a week,Health and Fitness,Educational,Both,Both,Ok
12-20,Delhi,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Podcast,Classical,Morning,Uplifting/Motivational,Workout,Others,4,Rarely,Sports,Story telling,Both,Longer,Dissatisfied
35-60,Mumbai,Others,More than 2 years,Wearable Devices,Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Electronic/Dance,Morning,Uplifting/Motivational,Study,Playlists,2,Rarely,Health and Fitness,Story telling,Both,Longer,Satisfied
20-35,Bengaluru,Female,6 months to 1 year,PC or Laptop,Free (ad-supported),No,None,Podcast,Rap,Morning,Uplifting/Motivational,Travel,Playlists,2,Several times a week,Lifestyle and Health,Conversational,Both,Both,Dissatisfied
20-35,Mumbai,Others,6 months to 1 year,Smart Speakers or Voice Assistants,Free (ad-supported),No,None,Podcast,Classical,Morning,Social/Party,Travel,Recommendations,2,Once a week,Lifestyle and Health,Interview,Well known individuals,Both,Very Satisfied
35-60,Bengaluru,Female,6 months to 1 year,Smart Speakers or Voice Assistants,Premium (paid subscription),No,None,Music,Melody,Night,Social/Party,Travel,Others,2,Once a week,Health and Fitness,Educational,unknown Podcasters,Longer,Ok
12-20,Ahmedabad,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Leisure,Playlists,2,Never,None,None,None,None,Ok
35-60,Ahmedabad,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Uplifting/Motivational,Travel,Playlists,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Mumbai,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Playlists,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Bengaluru,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Trending/Random,Night,Relaxation/Stress Relief,Travel,Recommendations,3,Never,None,None,None,None,Ok
20-35,Jaipur,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,4,Several times a week,Health and Fitness,Conversational,Well known individuals,Both,Satisfied
35-60,Bengaluru,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation/Stress Relief,Leisure,Playlists,5,Rarely,Comedy,Interview,Well known individuals,Shorter,Ok
20-35,Hyderabad,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,Relaxation/Stress Relief,Travel,Recommendations,5,Several times a week,Comedy,Conversational,Both,Shorter,Ok
20-35,Bengaluru,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,4,Never,None,None,None,None,Ok
35-60,Mumbai,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Music,Melody,Night,Relaxation/Stress Relief,Leisure,Playlists,5,Rarely,Food and Cooking,Educational,Well known individuals,Shorter,Satisfied
20-35,Mumbai,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Electronic/Dance,Night,Relaxation/Stress Relief,Leisure,Playlists,5,Rarely,Comedy,Interview,Well known individuals,Shorter,Satisfied
20-35,Mumbai,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation/Stress Relief,Travel,Playlists,4,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Ok
20-35,Mumbai,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Pop,Night,Uplifting/Motivational,Travel,Playlists,4,Never,None,None,None,None,Ok
20-35,Ahmedabad,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Leisure,Playlists,3,Rarely,Lifestyle and Health,Educational,Well known individuals,Both,Satisfied
20-35,Kolkata,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Office,Recommendations,1,Never,None,None,None,None,Ok
20-35,Hyderabad,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation/Stress Relief,Office,Recommendations,3,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Ok
20-35,Jaipur,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation/Stress Relief,Travel,Recommendations,4,Never,None,None,None,None,Ok
20-35,Jaipur,Female,Less than 6 months,Smartphone,Premium (paid subscription),Yes,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,5,Rarely,Comedy,Conversational,Well known individuals,Shorter,Satisfied
20-35,Bengaluru,Male,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Classical,Morning,Relaxation/Stress Relief,Study,Recommendations,4,Never,None,None,None,None,Ok
20-35,Kolkata,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,3,Rarely,Comedy,Interview,Well known individuals,Shorter,Ok
20-35,Mumbai,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,Relaxation/Stress Relief,Travel,Recommendations,4,Never,None,None,None,None,Ok
20-35,Chennai,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Leisure,Playlists,5,Daily,Comedy,Conversational,Well known individuals,Both,Very Satisfied
20-35,Hyderabad,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,5,Rarely,Lifestyle and Health,Story telling,Both,Both,Satisfied
20-35,Chennai,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Playlists,5,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Ok
20-35,Chandigarh,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Classical,Night,Relaxation/Stress Relief,Study,Recommendations,4,Once a week,Health and Fitness,Interview,Well known individuals,Shorter,Satisfied
20-35,Delhi,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Classical,Night,Relaxation/Stress Relief,Leisure,Recommendations,4,Never,None,None,None,None,Ok
20-35,Chennai,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Leisure,Playlists,3,Never,None,None,None,None,Ok
20-35,Chandigarh,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation/Stress Relief,Study,Playlists,5,Rarely,Comedy,Story telling,Both,Shorter,Very Satisfied
20-35,Delhi,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Playlists,5,Never,None,None,Both,None,Dissatisfied
20-35,Bengaluru,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Classical,Night,Relaxation/Stress Relief,Office,Playlists,5,Never,None,None,None,None,Satisfied
20-35,Jaipur,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,3,Never,None,None,None,None,Ok
20-35,Kolkata,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation/Stress Relief,Travel,Others,4,Never,None,None,None,None,Ok
20-35,Jaipur,Female,More than 2 years,PC or Laptop,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Leisure,Playlists,5,Rarely,Lifestyle and Health,Interview,Well known individuals,Shorter,Satisfied
20-35,Pune,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,Relaxation/Stress Relief,Travel,Recommendations,4,Daily,Lifestyle and Health,Educational,Well known individuals,Shorter,Very Satisfied
20-35,Delhi,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Rock,Night,Relaxation/Stress Relief,Leisure,Recommendations,2,Rarely,Comedy,Conversational,Well known individuals,Both,Ok
20-35,Bengaluru,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation/Stress Relief,Office,Recommendations,5,Several times a week,Lifestyle and Health,Conversational,Both,Shorter,Ok
20-35,Delhi,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation/Stress Relief,Workout,Others,2,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Dissatisfied
20-35,Ahmedabad,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Podcast,Melody,Afternoon,Relaxation/Stress Relief,Leisure,Recommendations,5,Once a week,Health and Fitness,Conversational,Both,Shorter,Satisfied
20-35,Hyderabad,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Leisure,Recommendations,3,Never,Food and Cooking,None,None,None,Ok
20-35,Chennai,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,5,Never,None,None,None,None,Ok
20-35,Jaipur,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation/Stress Relief,Travel,Playlists,3,Daily,None,Educational,unknown Podcasters,Shorter,Ok
20-35,Pune,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Family Plan-Rs 179/month,Music,Rap,Afternoon,Relaxation/Stress Relief,Travel,Others,4,Daily,None,Story telling,unknown Podcasters,Longer,Satisfied
20-35,Bengaluru,Male,More than 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Morning,Relaxation/Stress Relief,Office,Others,3,Never,None,None,None,None,Very Dissatisfied
20-35,Jaipur,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,Relaxation/Stress Relief,Travel,Recommendations,4,Never,None,None,None,None,Ok
20-35,Chandigarh,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation/Stress Relief,Workout,Recommendations,4,Daily,Sports,None,Both,Shorter,Satisfied
20-35,Hyderabad,Male,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Morning,Relaxation/Stress Relief,Travel,Playlists,4,Rarely,None,Interview,Well known individuals,Longer,Satisfied
20-35,Hyderabad,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,Relaxation/Stress Relief,Travel,Playlists,5,Once a week,Comedy,Story telling,Both,Both,Very Satisfied
20-35,Chandigarh,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation/Stress Relief,Study,Recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Chennai,Female,Less than 6 months,Smartphone,Premium (paid subscription),No,Duo plan- Rs 149/month,Music,Melody,Night,Relaxation/Stress Relief,Travel,Playlists,5,Never,None,None,None,None,Very Dissatisfied
20-35,Chennai,Female,More than 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Classical,Night,Uplifting/Motivational,Travel,Recommendations,4,Several times a week,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Bengaluru,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,4,Several times a week,Health and Fitness,Story telling,Well known individuals,Shorter,Very Satisfied
20-35,Kolkata,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Sad/Melancholic,Leisure,Playlists,2,Never,None,None,Well known individuals,Shorter,Satisfied
20-35,Jaipur,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,All,Night,Uplifting/Motivational,Leisure,Recommendations,5,Once a week,Dance,Conversational,unknown Podcasters,Shorter,Satisfied
20-35,Jaipur,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,Relaxation/Stress Relief,Workout,Playlists,5,Once a week,Comedy,Interview,Well known individuals,Shorter,Ok
20-35,Pune,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation/Stress Relief,Office,Others,5,Never,None,Conversational,Well known individuals,Shorter,Ok
20-35,Ahmedabad,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,4,Never,Comedy,Story telling,Well known individuals,Shorter,Ok
20-35,Pune,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Hyderabad,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,Relaxation/Stress Relief,Travel,Recommendations,5,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Ok
12-20,Jaipur,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Classical,Night,Social/Party,Leisure,Playlists,3,Never,None,None,None,None,Very Dissatisfied
12-20,Pune,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Classical,Night,Social/Party,Leisure,Recommendations,3,Never,None,None,None,None,Very Dissatisfied
20-35,Kolkata,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,3,Rarely,Lifestyle and Health,Educational,Both,Shorter,Satisfied
20-35,Mumbai,Female,More than 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Melody,Night,Relaxation/Stress Relief,Study,Playlists,5,Rarely,Comedy,Story telling,Both,Both,Satisfied
20-35,Pune,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation/Stress Relief,Office,Recommendations,5,Several times a week,Sports,None,Both,Both,Very Satisfied
20-35,Kolkata,Male,1 year to 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,Relaxation/Stress Relief,Office,Recommendations,3,Rarely,Technology,Educational,Both,Shorter,Ok
20-35,Pune,Female,Less than 6 months,Wearable Devices,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Morning,Relaxation/Stress Relief,Travel,Recommendations,3,Never,None,None,None,None,Ok
20-35,Chennai,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Morning,Relaxation/Stress Relief,Travel,Recommendations,4,Rarely,Health and Fitness,Conversational,Well known individuals,Shorter,Satisfied
20-35,Bengaluru,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Podcast,Classical,Night,Relaxation/Stress Relief,Travel,Recommendations,3,Once a week,General knowledge,Story telling,Both,Both,Satisfied
